lang,text
deu,Meine Batterie geht zu Ende.
deu,"„Hättest du Lust auf Kino?“ – „Ach, nein, Tom, nicht heute. Ein anderes Mal!“"
deu,"Wenn du dich selbst nicht liebst, tut’s auch niemand anderes."
deu,Wer hat diesen ganzen Schwachsinn verzapft?
deu,Die Türkei ist kriegsbereit.
deu,"Es ist toll, dass wir endlich eine Einigung erzielt haben."
deu,"Wir pflückten Äpfel, um einen Kuchen vorzubereiten."
deu,Es gibt in diesem Museum keine lebendigen Tiere.
deu,"Ich liebe alles Französische, insbesondere den Käse."
deu,"Ich denke, du wirst es mögen."
deu,Königin Elisabeth II hat während ihres Lebens zahlreiche Titel und Auszeichnungen erhalten.
deu,Wir sind nicht mit ihr verwandt.
deu,"Tom lügt schon wieder, nicht wahr?"
deu,Der harte Winter hat seine Spuren hinterlassen.
deu,"Er gelobte, mit dem Rauchen aufzuhören."
deu,Maria hat sich erhängt.
deu,Tom hat deine Frage nicht beantwortet.
deu,Habe ich dir den Schlüssel gegeben?
deu,Bitte öffnen Sie das Fenster.
deu,Maria benutzt die Nähmaschine sehr geschickt.
deu,Es läuft alles wie am Schnürchen.
deu,"Das sind die einzigen Regeln, die Sie sich merken müssen."
deu,Er hat den Film gestern Abend gesehen.
deu,"Ich sagte mir, Sie hätten vielleicht gerne ein Getränk."
deu,Schlagt euer Buch auf Seite 59 auf.
deu,"Tom ist schlimm, grimm und besser nicht zu kennen."
deu,Der Boden seines Ackers ist sehr fruchtbar.
deu,Maria hat ein geringes Selbstwertgefühl.
deu,"Er sieht so als, als wäre er krank gewesen."
deu,Lass uns etwas essen! Ich habe Hunger.
deu,John hat viele Flaschen Wein getrunken.
deu,Mich plagen Winterdepressionen.
deu,"Tom hat starke Schmerzen, aber er halte es aus, so sagt er."
deu,Der Zug kam in London an.
deu,"Es gibt viele Leute, die das nicht tun können."
deu,"Manche sehr aktive Menschen werden sehr alt, weil ihnen zum Sterben die Zeit fehlt. Andere sterben sehr jung, weil sie sich nicht genügend Zeit zum Leben gönnen."
deu,"Tom mag alles, was süß ist."
deu,Der Winter hat uns noch fest im Griff.
deu,"Ich glaube, ich habe vergessen, die Tür zuzusperren."
deu,"Wer glücklich ist, kann glücklich machen, wer's tut, vermehrt sein eignes Glück."
deu,"Stell es hin, wo du willst."
deu,"Seit sie einen neuen Freund hat, hat sich ihre Einstellung geändert."
deu,Ich bin nicht dein Lehrer.
deu,"Meinst du, wir sollten den Arzt rufen?"
deu,Diese Schuhe sind zu groß für mich.
deu,"Ich will dich noch einmal sehen, bevor du wegfährst."
deu,Sie ignorierte mich.
deu,Wir haben von einigen Eltern Beschwerden bekommen.
deu,Tom schaute nach oben.
deu,Warum entschuldigst du dich nicht einfach?
deu,Familienmitglieder haben oft ähnliche Gesichter.
deu,Kannst du Altgriechisch?
deu,Tom wurde mit einem Defibrillator wiederbelebt.
deu,"Nein, ich habe keine an."
deu,Ich mag nicht mehr krank sein.
deu,"Ist das so überraschend, dass er durchgefallen ist?"
deu,Denkst du auf Französisch?
deu,Vielleicht ist es egal.
deu,Wir müssen mehr Geschirrtücher kaufen.
deu,Es stimmt etwas nicht.
deu,"Wenn man zwischen den Zeilen liest, ist dieser Brief eine dringende Bitte nach Geld."
deu,Ich stehe am Montag und an allen Werktagen sehr früh auf.
deu,"Entschuldigung, aber ich denke, Sie liegen falsch."
deu,Die Schnittwunde war fast zwanzig Zentimeter lang.
deu,Ich habe mich wie eine Idiotin gefühlt.
deu,Er ist ein lustiger Typ.
deu,Sie spielt auf Profiniveau.
deu,"Es ist schon acht Jahre her, dass er gestorben ist."
deu,Ürümqi ist kälter als Kaxgar.
deu,Ich werde dich verpetzen!
deu,Schwimmt nicht im Fluss.
deu,"Ich denke, dass es ein wichtiges Ereignis ist."
deu,Guter Wein braucht kein Aushängeschild.
deu,"Wer in einem Streit zuerst still ist, stammt aus gutem Hause."
deu,Chinas Präsident brachte seine Freude über den Wahlsieg der griechischen Rechten zum Ausdruck.
deu,Tom stand unter der Dusche.
deu,Der Spielstand kann jetzt nicht gespeichert werden.
deu,Hast du den Wellensittich gesehen?
deu,"Für einen jungen Mann, der kein Geld hat, ist das schwierig zu bewerkstelligen."
deu,Die Führung beginnt um zehn Uhr.
deu,"Dich werde ich am meisten vermissen, Maria."
deu,Tom wird häufig hier sein müssen.
deu,Er ist ein rücksichtsloser Mensch.
deu,Schwarze Wolken kündeten das Gewitter an.
deu,Das ist meine Assistentin.
deu,"Nach kanadischem Recht ist die Muttersprache die erste Sprache, die jemand zu Hause lernt, vorausgesetzt, dass er oder sie diese Sprache zum Zeitpunkt der Volkszählung immer noch versteht."
deu,Reicht dir noch nicht diese Schmach?
deu,Die Leute wollen Interessanteres übersetzen.
deu,"Den Künstler muß nach jedem vollendeten Werk die Angst überfallen, er könne sich nicht mehr übertreffen."
deu,Ich hätte Tom nicht so spät nachts anrufen sollen.
deu,"Das Glück, das gestern mich geküsst, ist heute schon zerronnen."
deu,Du kannst dir heute freinehmen.
deu,Die Tochter strickt.
deu,"Es muss wundervoll sein, hier zu leben."
deu,Der Ausbruch des Vulkans Vesuv zerstörte die Stadt Pompeji.
deu,"Du willst wissen, wie du diese Beziehungskrise bewältigen kannst? Schreibe ihr einen freundschaftlichen Brief, der zu erkennen gibt: ich trage dir nichts nach."
deu,"Ich suche ein Programm, um diese Datei zu öffnen."
deu,"Wenn das Wichtigste ist, so zu tun, als wüsste man, was man tut, dann ist er für den Job bestens qualifiziert."
deu,Die Grundlage einer jeden Marktwirtschaft ist die Wechselwirkung von Angebot und Nachfrage.
deu,Er ist jetzt im besten Mannesalter.
deu,"Ich sagte ihr, ich sei nicht interessiert."
deu,"Ich habe vor, morgen nach Tokio zu fahren."
deu,"Wäre er nicht faul gewesen, hätte er reich sein können."
deu,Ich habe keine Fehler gefunden.
deu,Wie religiös ist der Mensch?
deu,Vier Familien kamen im Feuer ums Leben.
deu,Machst du heute Nachmittag deine Hausaufgaben?
deu,Tom kann sehr gut Französisch sprechen.
deu,"Die alte Frau hatte von Anfang an den Verdacht gehegt, dass es sich bei dem Jungen, der zur Rettung ihres Sohnes gekommen war, um ein verkleidetes Mädchen handelte."
deu,Warum hast du nicht die Initiative ergriffen?
deu,Ich habe zweitausend englische Wörter auswendig gelernt.
deu,Wo befindet sich die Einfahrt zur Tiefgarage?
deu,Tom ist ein grottenschlechter Autofahrer.
deu,Washington war der berühmteste Mann der Vereinigten Staaten von Amerika.
deu,"Tom wurden die Stimmbänder entfernt, nachdem man bei ihm Kehlkopfkrebs festgestellt hatte, und er atmet jetzt durch ein Loch im Hals."
deu,"Wie kommt es, dass du noch nicht schläfst?"
deu,"Ich frage mich beständig, ob es ein Leben nach dem Tode gibt, und wenn es eins gibt, werden sie in der Lage sein, einen Zwanziger zu wechseln?"
deu,Da war noch ein bisschen Wasser am Flaschenboden übrig.
deu,"Mit der Linken übe dich, solange die Rechte noch da ist."
deu,Ich bin echt stolz auf meinen Verein.
deu,"Bei Tatoeba immer wieder Beispielsätze hinzuzufügen, ist, überspitzt gesagt, wie onanieren."
deu,"Wer zuhört, kann nichts Falsches sagen."
deu,Tom brauchte nicht lange überzeugt zu werden.
deu,Kannst du ein Omelett zubereiten?
deu,"Obwohl Tom die Idee nicht für sonderlich sinnvoll hielt, sagte er, dass er es einmal versuchen würde."
deu,Tom scheint recht entspannt zu sein.
deu,Tom hat seine Hoffnung nicht verloren.
deu,"Jetzt lass mal sehen, was du kannst!"
deu,„Wo ist denn Tom?“ – „Der räumt sein Zimmer auf.“
deu,"Ein Metzger tut manchen vergeblichen Sprung, ein Hund noch mehr."
deu,„Wie war das Überleben in der Wildnis?“ — „Schrecklich! Ich habe nur zwei Tage durchgehalten.“
deu,Wie lange wird der Flug dauern?
deu,Wir reden nie über Politik.
deu,Tom schloss Maria in die Arme und küsste sie.
deu,"Hast du Lust, Cowboy und Indianer zu spielen?"
deu,Die politische Partei übersprang in ersten Umfragen die Fünf-Prozent-Hürde.
deu,Ich kann ohne meine Partitur nicht zur Probe gehen.
deu,Haben Sie ein japanisches Antragsformular?
deu,Nehmen Sie die rechte Straße.
deu,"Tee, Kaffee und Leckerli bringen dich ums Äckerli."
deu,Aber was tut man im Winter?
deu,Wie erreicht man diese Wirkung?
deu,Tom hat eine Menge Schriften von Maria.
deu,"Ich habe die Sätze übersetzt, die du mir gegeben hast. Wo bleibt die nächste Fuhre?"
deu,"Ich verstehe immer noch nicht, warum das passiert ist."
deu,"Die Luftröhre ist die Atemröhre eines Wirbeltieres, die Luft vom Kehlkopf in die Lunge führt. Die Luftröhre teilt sich in zwei Äste, die Bronchien genannt werden."
deu,"Könnt ihr mir sagen, wie man zum Baseballstadion kommt?"
deu,"Wird sie sich in einigen Jahren noch daran erinnern, was sie ihm versprochen hat?"
deu,Damit hatte ich kein Problem.
deu,"Ich will nicht derjenige sein, der Tom die Nachricht überbringt, dass Maria bei einem Autounfall ums Leben gekommen ist."
deu,Louis und Paul wetteiferten um Marias Gunst.
deu,"Tom weiß, wer mit Marias Auto zusammengestoßen ist."
deu,Die Leute hier tun das oft.
deu,Der Arbeitnehmerpauschbetrag wurde angehoben.
eng,Do you know why Tom and Mary aren't here today?
eng,Tom can be a little difficult to get along with.
eng,I think I should've helped Tom.
eng,The clientele seemed satisfied.
eng,It only takes me three minutes to do that.
eng,Tom is counting money.
eng,The students have an excellent gym at their disposal.
eng,We have a lot of moorhens in our pond.
eng,I wish that I hadn't done that by myself.
eng,He works in a pharmacy.
eng,You're being dishonest.
eng,Tom and I've been friends for thirty years.
eng,A woman asked me for directions.
eng,Sami lives in the garage.
eng,"If you really want to go to the art museum, I'll go with you."
eng,I can't tell jokes as well as Tom can.
eng,He said that he lost his temper.
eng,Sami paid Layla to clean his room.
eng,We must never forget what happened here.
eng,What do you guys think of me?
eng,You don't seem to like anybody here.
eng,Tom would like to get a Japanese car.
eng,"In this respect, you're right."
eng,There's no more juice.
eng,Sami wanted to burn Layla's body.
eng,The police said they wouldn't stop searching for Tom.
eng,Tom told Mary how much he loved her.
eng,He's obviously crazy about her.
eng,He's not so bad looking either.
eng,Tom is better than me.
eng,Tom didn't make it to the bathroom in time.
eng,You don't know how difficult it was for Tom.
eng,Sami still smokes weed.
eng,The house was sold for one million dollars.
eng,I need an operation.
eng,I seldom stay in Australia for more than three days.
eng,They're living their dream.
eng,It's time consuming.
eng,Tom and Mary said they needed to borrow some money.
eng,The character of men depends more on their occupations than on any teaching we can give them.
eng,It's not going to be as hard to do as you think it'll be.
eng,I'm satisfied with my job.
eng,I am prettier than you.
eng,I suppose it makes sense to go ahead and pay the bill right now.
eng,Tom said that Mary should've stayed and helped John.
eng,Both guns were unloaded.
eng,I always wanted to know what would happen if I did that.
eng,I've run out of cotton wool.
eng,She spent the day with her parents.
eng,More than five-hundred were wounded.
eng,Ziri is the producer.
eng,Tom told everybody he was determined to do that.
eng,Wise is the man who speaks little.
eng,"Hurry up, or we'll miss the train."
eng,"We translated the sentences and wrote them on the website for others to see, as well."
eng,There's nothing going on between Tom and Mary.
eng,I thought that it was Tom who did that.
eng,"When there's no separation of powers, and universal rights aren't respected, and there's unemployment, dictatorships rise."
eng,Mary already knows what she's going to do.
eng,I like to go to the park and watch the children in the playground enjoying themselves.
eng,Tom propped himself up on one elbow.
eng,She was astonished that you spoke Chinese so well.
eng,Are we getting dumber over time?
eng,Mary asked me to teach her how to drive.
eng,Jane went out of her way to be nice to the new girl.
eng,"Now that we've bought new furniture for the room, why not throw away this old, worn-out furniture?"
eng,I saw Tom grab Mary's arm.
eng,Tom cooks every day.
eng,There's no practice during school holidays.
eng,This is a crime investigation.
eng,He was taken to the hospital.
eng,Why does it take you so long to make your bed?
eng,About 150 kilometers outside Kyiv we stopped at a gas station and minimart for sandwiches and coffee.
eng,I went on board the ship.
eng,The indefinite article is used before countable nouns.
eng,His Berber is not very good.
eng,Sami hasn't even eaten in the last two days.
eng,Thanks for the milk.
eng,Tom says he isn't going to answer any questions.
eng,The teacher ran up the stairs.
eng,The nature preserve was gated.
eng,What's the deepest lake in the world?
eng,Do you think Tom is glad that's going to happen?
eng,Tom and Mary took what they wanted.
eng,"What's the difference between the verbs ""to watch"" and ""to see""?"
eng,Someone might think we're trying to steal this.
eng,I can't stop shaking my leg.
eng,The concert's going to start soon.
eng,It is difficult to separate the wheat from the chaff.
eng,Mary wouldn't tell me where she'd been.
eng,"I know this is not your choice of solution, but we have to push forward anyway."
eng,It's fun hanging out with Tom.
eng,"Drink your coffee, otherwise it'll get cold."
eng,Ziri treated Rima with respect.
eng,Tom perused the menu.
eng,I got my girlfriend's name tattooed on my arm.
eng,The museum is closed for renovations until 2020.
eng,Tom could have waited longer.
eng,Let's spend this night together.
eng,I know that Tom expected us to do that.
eng,Yanni cleans everything.
eng,Sami was a black boy.
eng,The turtle got away.
eng,I don't think Tom is going to be able to do that.
eng,I used to come here when it was a restaurant.
eng,I thought that you looked beautiful in that dress.
eng,That must be what I saw.
eng,Why are you so sure Tom and Mary are Canadians?
eng,How did you come to be there?
eng,I left it on the table.
eng,Tom and Mary will be fired if they do that again.
eng,We have to get home before Monday.
eng,Effusive people are often misunderstood as exaggerated.
eng,I'll eat when I'm hungry.
eng,Such dreadful weather!
eng,We all helped with the harvest.
eng,I have blind faith in him.
eng,I need to go for a minute.
eng,Tom said that he might go to Boston in a week or two.
eng,I no longer need a loan.
eng,He failed the exam because he didn't study.
eng,Tom is going to have a baby brother.
eng,Mary said it wasn't the first time she'd done that.
eng,We arrived about forty-five minutes after sunset.
eng,I wonder whether Tom is unmarried.
eng,"It had to be dealt with under the prevailing conditions, which was not easy."
eng,Mary crushed the box with her foot.
eng,What was the response?
eng,They can add a literal translation.
eng,Did you receive an invitation?
eng,Tom wouldn't go with us.
eng,It isn't negotiable.
eng,Those foods can be hard to resist because they contain things the body needs.
eng,Why would anyone ever do that?
eng,I assumed you'd find out sooner or later.
eng,Tom will go to the dance by himself.
eng,Algerians aren't scared of anyone.
eng,My sister has been sick.
eng,I'm sorry we didn't make a deal.
eng,Where can I study Romanian?
eng,Some experts say this is still not enough.
eng,I'm not the one who helped Tom.
eng,The heavy rain made a mess of the bonsai.
eng,Dark tourism consists in getting kicks from the world's poverty and misery.
eng,I didn't know Tom retired.
eng,I want to study physics.
eng,Tom and Mary said that was the first time they'd tried doing that.
eng,Tom might want to do some shopping.
eng,The person with the dog was so slow on the hill.
eng,Tom hasn't been the same since you left him.
eng,Akiko has several friends in France.
eng,Tom is probably just too scared.
eng,Tom's a good fellow.
eng,"In general, she is a trustworthy person."
eng,"Lately, nostalgia has been a common topic."
eng,Tom is no longer a student here.
eng,I didn't think that you were funny.
eng,It was clear Tom was expecting Mary to do that for him.
eng,How much do you have in the bank?
eng,Ziri spent most of his day in the yard.
eng,"To Ziri's horror, there was a dog silhouette standing in the hallway."
eng,"Mary said the same thing, but used more diplomatic language."
eng,I don't know how she should deal with this.
eng,The cat has started acting strangely.
eng,Tom said he doesn't think Mary really enjoys playing tennis with John.
eng,Tom said Mary was likely to be displeased.
eng,He was starting to get annoyed.
eng,Ziri is jealous of Rima's relationship with her son.
eng,I didn't tell Tom what he should buy.
eng,Mary said she won't attend the meeting.
eng,Do you want to come to my apartment and chill?
eng,Sami put the mask on.
eng,Will you be busy tomorrow morning?
eng,Are you mentally ill?
eng,Yanni was watching TV in the living room.
eng,I'm happy you're still alive.
eng,What exactly did I get wrong?
eng,May I go over to Tom's house to play?
eng,They say they're hoping to do that.
eng,That's my face right now.
eng,A word is like a bullet.
eng,Ziri had his coffee in hand.
eng,Yanni was playing outside in the yard.
eng,What does Ziri want for dinner?
eng,Can our marriage be restored?
eng,Her mediation put an end to our quarrel.
eng,She found the money gone.
eng,How many sons does Tom have?
eng,What do you believe?
eng,My arm really hurts.
eng,"And then it began to snow. April lived up to its reputation: during this one week, participants experienced all four seasons."
eng,Nine athletes from six nations competed.
eng,Lukas insisted on driving downtown.
eng,Jackals were attacking Ziri's sheep.
eng,"Because everyone is always complaining about how difficult their lives are, I'm beginning to feel like living in happiness is a crime."
eng,The dream was prophetic.
eng,Mary has left her husband.
eng,Is Algeria lying about its economic statistics?
eng,Mennad's life is going to go on.
eng,Anne choked back a mad desire to laugh.
fra,« Le Penseur » est une sculpture célèbre de Rodin.
fra,Ce ne sont que des on-dits.
fra,Ce chapitre sera consacré aux concepts de la géométrie.
fra,"« Je laverai les plats. » « Bon, je les sécherai alors. »"
fra,Ne touche pas à quoi que ce soit sans demander !
fra,Tom aime bien être seul.
fra,Les conquêtes sont faciles à faire parce qu'on les fait avec toutes ses forces : elles sont difficiles à conserver parce qu'on ne les défend qu'avec une partie de ses forces.
fra,Est-ce que ça ne serait pas plus simple que le gouvernement dissolve le peuple et s'en choisisse un autre ?
fra,"Allume une bougie, je te prie !"
fra,Ils aiment plaisanter.
fra,Le Saut de l'Ange au Venezuela est la plus haute chute d'eau du monde.
fra,Il se peut que je vous enterre.
fra,Ta chatte est en surpoids.
fra,Tom baisait Mary tout en traduisant cette phrase sur son terminal Android.
fra,Le général Gaïd Salah est un lion en Algérie mais un ver de terre en Occident et partout ailleurs.
fra,"En ce temps là, elle était occupée à un travail quelconque."
fra,Certains de ces livres étaient à lui.
fra,Qui suis-je pour te dire quoi faire ?
fra,Vous vous foutez de ma gueule ?
fra,Les soucis ne se noient pas dans l'alcool. Ils savent nager.
fra,Je souhaite te voir ce vendredi.
fra,Il travaille à domicile.
fra,Ce vêtement est échangeable dans les trois jours.
fra,Pourquoi veut-il faire ça ?
fra,Quel est l'intérêt de faire ça ?
fra,Qui a piqué mon stylo ?
fra,L'évènement commence à dix heures du soir.
fra,Je suis habituée à travailler toute la nuit.
fra,Nous t'avons cherché partout.
fra,"J'ai longtemps écouté, mais je n'ai rien entendu."
fra,Qui aime Marie aimerait Marie.
fra,Le maire dirige la ville très consciencieusement.
fra,"Contre moi, Tom est un joueur d'échecs extrêmement enthousiaste."
fra,"L'amour, c'est la vie."
fra,D'où me connais-tu ?
fra,Mary est vraiment une fille très mignonne.
fra,"À en juger d'après ce superbe bronzage, il semble que tu aies passé l'essentiel de tes vacances à la plage."
fra,J'ai déjà fini de dîner.
fra,"Ils écrivent très proprement, n'est-ce pas?"
fra,Avez-vous déjà reçu un traitement contre la syphilis ?
fra,Je veux vous plaire.
fra,Pourquoi lui as-tu dit mon nom ?
fra,Je dois cirer mes chaussures.
fra,C'est mon premier cheval.
fra,Il m'a dit que je perdais mon temps.
fra,Je mis des vêtements propres.
fra,Je serais très heureux si quelqu'un pouvait m'aider à traduire correctement cette phrase.
fra,Celui qui doit choisir est vraiment dans l'embarras.
fra,Il a l'air d'être un type bien.
fra,Le corps de la victime était criblé de balles.
fra,Faites bouillir deux tasses d'eau.
fra,Il épargne afin de pouvoir aller à l'université.
fra,La Bible nous dit d'aimer notre prochain.
fra,"En tuant l'ours, son parent, son semblable, son premier dieu, l'homme a depuis longtemps tué sa propre mémoire et s'est plus ou moins symboliquement tué lui-même."
fra,On m'a forcé à prendre des médicaments.
fra,Il faisait si froid que nous avons fait un feu.
fra,Je peux suivre les règles.
fra,Ma passion c'est le golf.
fra,Les nouvelles peuvent être consultées sur votre ordinateur.
fra,Tom a embrassé son chien.
fra,Sami est imprévisible.
fra,Les voleurs se sont carapatés avec les bijoux.
fra,Il n'y avait pas plus de cinq passagers dans le bus.
fra,Ces vêtements sont beaux mais coûteux.
fra,Que fais-tu maintenant ?
fra,Il ne sait pas où il a perdu la clé de l’appartement.
fra,"Inutile de me remercier, car tu mérites ce qu'il y a de mieux."
fra,Votre réflexion m'intéresse plus que votre résultat final.
fra,N'avez-vous rien de mieux à faire ?
fra,C'est lui qui s'assoit dessus !
fra,L'office national des droits d'auteur et des droits voisins veille au respect de sa charte.
fra,Je me suis cassé la jambe droite.
fra,Je ne suis pas sûr de son adresse.
fra,Peux-tu résoudre ce problème ?
fra,Cela pourrait prendre des jours.
fra,L'orgueil a toujours été ma bête noire.
fra,Il peut monter à cheval.
fra,Un chez soi est davantage qu'une simple construction.
fra,Je viens de France et vous ?
fra,Tu mettais le piège entre les branches.
fra,Tom l'a vue à l'aéroport.
fra,L'avion perd de l'altitude.
fra,Vous auriez probablement pu faire cela mieux.
fra,"Le destin décide qui entrera dans ta vie, mais c'est toi qui décides qui y restera."
fra,Combien de fois par jour nourris-tu ton chien ?
fra,Tu n'aurais pas dû venir si tôt.
fra,Elles se sont reposées dans leur charrette.
fra,Il ne veut pas le perdre.
fra,Je voudrais que cette réunion ne dure pas plus de dix minutes.
fra,Je ne pus rien comprendre de ce qu’il dit.
fra,Quelle tranche d'âge ciblez-vous ?
fra,Elle s'en fiche de moi.
fra,Nous nous rassemblerons tous demain soir.
fra,Vous aimez les roses ?
fra,Le train s'est arrêté brusquement.
fra,Ils en avaient marre d'attendre.
fra,Vous avez fait une grosse erreur.
fra,Ces petits friands aux Saint-Jacques sont un véritable régal.
fra,Elle fit tout ce qu'elle put pour me nuire.
fra,Elle insistait sur son innocence.
fra,Tom est un anarchiste.
fra,Je vais le descendre.
fra,J'ai l'intention d'entrer en contact.
fra,Ils ont insisté pour que j'assiste à la réunion.
fra,Je fus le premier à commencer à m'exprimer.
fra,Je suis fatigué d'être malade.
fra,Je vous conseille de ne pas me démoraliser !
fra,Vous étiez accrochées à la branche.
fra,Ils le considéraient comme un grand juge.
fra,Il est maintenant derrière les barreaux.
fra,Je vous aime beaucoup.
fra,Qu'est-ce qu'elle veut dire ?
fra,Je ne veux pas vivre tout seul.
fra,"Aucune politique de haine raciale et aucune oppression colonialiste, aussi infernale soit-elle, ne m'obligeront à quitter la Palestine."
fra,Je n'ai pas encore trouvé ce que je cherche.
fra,J'ai perdu mon argent.
fra,Je ne les défriche pas.
fra,"Si une personne est malhonnête, elle l'est jusqu'au bout."
fra,Je viens de manger des sushis et de boire une bière.
fra,Je veux être artiste.
fra,"Indiquez-moi le chemin, s'il vous plaît."
fra,Je te présente mes excuses pour cela.
fra,Ils se sont arrêtés.
fra,Ziri aime la pastèque.
fra,À quelle heure l'atterrissage de l'avion est-il prévu ?
fra,Marie allaitait sa fille.
fra,Elle ne fait rien d'autre.
fra,La cheminée est-elle propre ?
fra,"- Vous n'y allez pas par quatre chemins ! - Jamais ! Un seul, c'est plus court."
fra,"Eh bien, c'est embêtant."
fra,« Marocain ? » « Algérien. »
fra,J'ai toujours trouvé la fée Clochette très sexy.
fra,Je ne ferme pas leur voiture.
fra,Ziri a regardé la télé.
fra,J'entendis bruire les feuilles.
fra,J'aimerais acheter un appartement sur Paris.
fra,"C'est beau, dit-elle."
fra,Les sauveteurs sont là pour nous protéger.
fra,Vous devriez avoir honte !
fra,Avez-vous vérifié ceci ?
fra,Sais-tu qui est son cousin ?
fra,Je partirai si tu pars.
fra,Combien de temps as-tu été à Osaka ?
fra,Je ne comprends pas du tout cette question.
fra,"Le peuple, c'est nous."
fra,Les introvertis ont souvent du mal à se faire de nouveaux amis.
fra,Elle a débouclé sa ceinture.
fra,La parole est à toi.
fra,Elle veut commander une pizza.
fra,José Luis Jordán Peña prétendait recevoir des lettres d'une exoplanète nommée Ummo.
fra,"Comme il avait été publié à la hâte, le livre avait de nombreuses coquilles."
fra,"« Tom, alors mon café, ça vient ? » « J'arrive. Juste une minute. »"
fra,Tu dois manger tes légumes.
fra,Tom n'a jamais voulu faire ça.
fra,Émilie est chez elle.
fra,Le batteur a fait une overdose.
fra,Ils sont déjà arrivés.
fra,"Prends le conseil des ans avec bienveillance, en rendant avec grâce les armes de la jeunesse."
fra,Nous avons la croix.
fra,C'est nous qui sommes les véritables héros.
fra,Ce garçon sait vraiment bien se démerder.
fra,"Quand qu'elle m'a vu, elle est partie en courant."
fra,Il faut que nous y allions.
fra,Elle a des problèmes à l'école.
fra,Ma montre avance encore.
fra,"À cause de Tom, Mary est devenue dépressive."
fra,Sus à l'envahisseur !
fra,Il est aveugle de naissance.
fra,Les enfants détestent ennuyer les professeurs.
fra,Tom et Mary se retrouvèrent alors côte à côte au début de cette phrase et entreprirent de l'explorer.
fra,Obéis-toi à toi-même.
fra,Une fête se tient ce soir.
fra,"Ton chinois est super, déjà."
fra,Arriver à la maison.
fra,Tom est plein de charme.
fra,Donnez-moi la liberté ou donnez-moi la mort.
fra,Il collabore avec l'ennemi.
fra,Avez-vous quelque chose de très chaud?
fra,Elle a été formée comme médecin.
fra,C'est un militant libre.
fra,Le Sahara occidental est situé en Afrique du Nord.
fra,Ne lui prêtez pas attention.
fra,"Elle a emménagé dans un nouveau logement, plus confortable."
fra,Ne dors pas trop profondément !
fra,Je vois quelqu'un dans la cour.
fra,Elles voyagent jusqu’au bout du monde.
fra,"« Qui veut la paix prépare la guerre » a toujours été la parfaite excuse pour la faire, la guerre."
fra,Je sais qu'il est arrivé hier.
fra,Il semble que vous vouliez que je vous persuade de ne pas le faire.
fra,Je ne peux pas dépenser l'argent que je n'ai pas.
fra,Je sais exactement comment le corriger.
fra,Je suis désolée au sujet de la nuit dernière.
fra,Ce téléviseur est le meilleur de tous.
fra,J'y pense tout le temps.
fra,Occupé ; je vous rappellerai.
